time,current,voltage,x,y,z,feedrate
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,0.000000,0.000000,1200.000000
0.500000,1.950000,13.410000,0.000000,10.000000,0.000000,1200.000000
2.000000,1.950000,13.410000,0.000000,15.000000,0.000000,150.000000
